# LAMMPS data file written by OVITO Basic 3.5.2
178 atoms
2 atom types
0.0 30.0 xlo xhi
0.0 30.0 ylo yhi
0.0 30.0 zlo zhi

Atoms  # atomic

1 1 13.1253 13.6548 9.43875
2 1 11.9547 10.9456 9.28918
3 1 11.4553 14.6613 11.3603
4 1 13.5215 9.52601 11.2056
5 1 10.0751 12.3226 11.2261
6 1 11.7992 11.907 13.4357
7 1 12.9086 9.51301 17.2472
8 1 9.87471 13.8181 17.5202
9 1 13.1001 9.68312 14.2953
10 1 13.2825 13.844 16.9747
11 1 11.8326 11.857 18.2989
12 1 13.6498 12.7512 20.3615
13 1 13.6436 15.4443 19.3694
14 1 13.1396 17.976 10.6762
15 1 10.6832 17.67 11.3585
16 1 10.1242 16.4533 13.9504
17 1 13.731 15.2246 13.1737
18 1 11.1204 20.2893 12.3977
19 1 9.40841 18.0631 16.4709
20 1 11.1177 14.038 14.9471
21 1 13.4432 16.6976 15.5514
22 1 9.94261 20.6166 14.9753
23 1 12.2044 20.8987 16.5212
24 1 16.014 15.7989 15.9697
25 1 14.0667 19.3265 15.5221
26 1 11.0466 16.2328 17.3582
27 1 11.6192 17.4093 19.8842
28 1 10.5292 19.5839 18.5846
29 1 16.1534 18.9989 19.1974
30 1 16.7241 11.9664 10.7958
31 1 14.0375 12.2274 11.6663
32 1 16.487 9.19964 11.0744
33 1 14.7909 15.6662 10.6412
34 1 17.8258 9.59184 13.741
35 1 15.7795 13.5341 14.2181
36 1 20.4135 13.4159 13.3703
37 1 15.7249 10.1664 17.4431
38 1 15.5724 10.8123 14.7661
39 1 18.0632 13.2091 16.1232
40 1 19.5754 11.3875 14.8065
41 1 20.3018 10.8359 17.5753
42 1 15.7549 12.7685 18.0196
43 1 17.4573 13.9749 19.7534
44 1 18.1408 9.43032 18.4352
45 1 19.8798 13.6438 18.2534
46 1 17.4342 15.9958 10.5195
47 1 18.0975 18.1703 12.1615
48 1 17.9084 13.8179 12.2632
49 1 13.9837 19.6329 12.7847
50 1 18.0224 17.1126 14.6937
51 1 20.7843 17.9166 12.7544
52 1 16.5055 20.4038 12.2541
53 1 18.388 19.4016 16.0805
54 1 16.2118 16.31 18.6971
55 1 20.4818 15.911 14.7521
56 1 21.1458 16.0906 17.36
57 1 20.3271 18.6457 18.039
58 1 18.6778 19.5689 20.1179
59 1 16.159 20.0719 16.9495
60 2 12.7369 12.8314 9.06858
61 2 12.3927 14.0857 9.95584
62 2 12.4882 10.3223 9.84781
63 2 11.5477 10.3958 8.5973
64 2 10.8255 13.8825 11.3813
65 2 13.7584 12.721 10.8544
66 2 14.421 9.16142 11.049
67 2 13.7194 10.4623 11.4699
68 2 10.5301 11.8403 10.5041
69 2 10.4937 11.9631 12.0455
70 2 12.6065 12.2025 12.9578
71 2 11.5279 12.6777 14.0088
72 2 12.8596 9.42092 16.272
73 2 13.8715 9.56438 17.4445
74 2 9.96319 13.6531 16.5558
75 2 10.3754 13.0727 17.9273
76 2 13.1752 9.22041 13.4363
77 2 12.4951 10.4513 14.0962
78 2 13.2551 14.5453 17.669
79 2 12.7509 13.098 17.373
80 2 11.9009 14.2197 15.5119
81 2 14.6756 10.455 14.5264
82 2 15.0612 16.0586 15.8487
83 2 12.1202 10.9763 17.9335
84 2 12.3186 11.9734 19.1497
85 2 13.562 13.7177 20.1827
86 2 14.451 12.512 19.856
87 2 11.2592 16.5258 18.2763
88 2 14.9689 13.1563 17.5597
89 2 13.549 18.5126 11.403
90 2 13.7386 17.2039 10.5432
91 2 10.1472 17.7234 10.5473
92 2 10.9098 15.4698 11.33
93 2 11.667 17.7146 11.0451
94 2 14.4948 15.4917 11.5767
95 2 13.2372 20.2399 12.6079
96 2 9.85268 17.1258 14.6045
97 2 10.2728 16.93 13.1061
98 2 13.5412 15.8206 13.9453
99 2 12.8562 14.9325 12.8307
100 2 10.6816 20.9385 11.8194
101 2 10.8889 19.402 12.0212
102 2 10.0113 17.3019 16.793
103 2 8.49909 17.7322 16.587
104 2 11.4014 20.9077 15.9304
105 2 10.8281 14.9021 14.5605
106 2 12.6783 16.523 16.1442
107 2 13.5791 17.6903 15.5567
108 2 10.2842 20.4607 14.0638
109 2 9.65847 19.7446 15.3141
110 2 11.85 20.5499 17.3642
111 2 14.0743 19.5006 14.5389
112 2 10.0305 19.1289 17.8565
113 2 10.6467 15.3113 17.4628
114 2 11.2881 18.2856 19.5573
115 2 11.0577 17.173 20.6433
116 2 9.91462 20.2547 18.9352
117 2 13.0929 16.1987 19.6626
118 2 17.2915 12.607 11.3357
119 2 16.6629 12.3588 9.90748
120 2 15.0212 12.2069 11.6129
121 2 16.6476 10.1665 10.9236
122 2 16.9741 8.73803 10.3693
123 2 14.3618 14.9712 10.0905
124 2 18.8331 13.6967 12.6076
125 2 16.9702 9.96498 14.0789
126 2 17.6148 9.29111 12.8345
127 2 16.5327 13.6659 13.5932
128 2 14.9964 13.9508 13.7881
129 2 20.1825 12.5765 13.9017
130 2 21.1793 13.1827 12.8193
131 2 16.6036 9.80571 17.756
132 2 15.7903 10.2984 16.4597
133 2 20.2897 11.7679 17.8849
134 2 15.5699 11.7846 14.5592
135 2 17.2299 13.0082 16.6001
136 2 18.6998 13.4166 16.8527
137 2 19.0473 10.6805 14.3385
138 2 18.892 11.9553 15.2652
139 2 20.2192 10.896 16.5964
140 2 16.0725 14.9004 15.5606
141 2 20.4817 15.0092 14.3469
142 2 15.7097 11.7743 17.8532
143 2 18.9475 9.9454 18.1301
144 2 16.833 13.4617 19.1634
145 2 17.2895 13.6539 20.6563
146 2 18.3947 8.49583 18.3674
147 2 14.5555 15.7996 19.2118
148 2 19.2085 13.816 18.9502
149 2 16.4316 15.8968 10.4847
150 2 17.7361 16.0358 9.59522
151 2 17.8636 17.4844 11.4892
152 2 19.0878 18.1787 12.2147
153 2 14.8463 20.0546 12.5095
154 2 17.909 14.6216 11.6893
155 2 17.2118 16.6462 15.0379
156 2 17.8564 17.4084 13.7592
157 2 21.6317 17.9429 12.2813
158 2 20.8594 17.192 13.4225
159 2 17.1314 19.6372 12.1471
160 2 16.8408 21.1154 11.6859
161 2 19.0636 19.184 16.7653
162 2 18.2856 18.5615 15.5462
163 2 16.7778 15.657 19.1714
164 2 16.2561 16.0591 17.7355
165 2 19.5255 16.2034 14.7615
166 2 22.1025 15.9284 17.4435
167 2 20.9485 15.9801 16.3739
168 2 13.3328 19.928 15.8902
169 2 21.1155 19.2051 17.9127
170 2 20.6297 17.7158 17.84
171 2 19.3477 19.1627 19.5178
172 2 18.9534 19.3537 21.0253
173 2 17.0232 19.2265 19.6227
174 2 20.3362 14.496 18.0691
175 2 16.1776 18.0119 19.0779
176 2 16.1032 19.6112 17.9159
177 2 17.1077 19.7904 16.5428
178 2 15.3886 19.7696 16.356
