################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9030272658125382E+00 a       117     0     5     1    17
 -2.5284226735302018E+00 a       118     0     5     1    18
 -5.7852002022326376E-01 a       119     0     5     1    19
 -8.1223854267681950E-01 a       120     0     5     1    20
  1.4917031650669554E+00 a       121     0     5     1    21
 -1.4317118465524361E+00 a       122     0     5     1    22
 -5.4482318254562312E-01 a       123     0     5     1    23
 -2.3726737280603319E-01 a       124     0     5     1    24
  1.2911117596005681E+00 a       125     0     5     1    25
  2.2139515161012119E-01 a       126     0     6     1     1
 -4.8789062678974171E-01 a       127     0     6     1     2
 -1.2281756667670880E-01 a       128     0     6     1     3
  1.8886524364361597E+00 a       129     0     6     1     4
  2.8307226341094984E+00 a       130     0     6     1     5
 -1.5979841332491085E+00 a       131     0     6     1     6
 -8.7208403911047216E-01 a       132     0     6     1     7
  1.0529312637492555E-01 a       133     0     6     1     8
  2.3744853606174918E+00 a       134     0     6     1     9
 -2.1162285218591768E+00 a       135     0     6     1    10
 -4.8698404170189447E-01 a       136     0     6     1    11
 -5.4307490097439426E-01 a       137     0     6     1    12
  1.5336979575033569E+00 a       138     0     6     1    13
  1.7668575407374374E+00 a       139     0     6     1    14
 -1.3196445215525037E+00 a       140     0     6     1    15
  1.3420655507176107E-01 a       141     0     6     1    16
  2.7864843102112582E+00 a       142     0     6     1    17
 -3.2360325340874079E+00 a       143     0     6     1    18
 -7.5320814061188715E-03 a       144     0     6     1    19
 -1.3024601063404748E+00 a       145     0     6     1    20
  2.2941899204687468E+00 a       146     0     6     1    21
 -1.3470429887919486E+00 a       147     0     6     1    22
 -2.1125064096980650E+00 a       148     0     6     1    23
  9.3381130676006160E-02 a       149     0     6     1    24
  1.3281351441318874E+00 a       150     0     6     1    25
  4.0731387088636879E+00 a       151     0     7     1     1
 -5.0879095610463203E+00 a       152     0     7     1     2
  9.9087043147123544E-01 a       153     0     7     1     3
 -3.5770276785967947E-01 a       154     0     7     1     4
  6.1106030779710805E+00 a       155     0     7     1     5
  2.2020983931246159E+00 a       156     0     7     1     6
  2.2800468263808402E+00 a       157     0     7     1     7
  6.7210321801503126E+00 a       158     0     7     1     8
 -9.9249239841370329E-01 a       159     0     7     1     9
  3.0209748068521622E+00 a       160     0     7     1    10
 -9.3235349044396154E-01 a       161     0     7     1    11
 -9.0444529750261982E-01 a       162     0     7     1    12
 -1.0565183932106792E+00 a       163     0     7     1    13
 -7.1928058584374599E-01 a       164     0     7     1    14
  3.6543357824575446E+00 a       165     0     7     1    15
 -1.4673315927083808E+00 a       166     0     7     1    16
 -3.0469121587215781E-01 a       167     0     7     1    17
 -4.5450422850958363E+00 a       168     0     7     1    18
  3.0960795398681906E+00 a       169     0     7     1    19
  1.3052049365848331E+00 a       170     0     7     1    20
  1.5209770667559714E+00 a       171     0     7     1    21
  1.8713637766092281E+00 a       172     0     7     1    22
 -4.6502363731021079E+00 a       173     0     7     1    23
  1.5493652701988325E+00 a       174     0     7     1    24
  2.7595986888062689E-02 a       175     0     7     1    25
 -4.0276498348156062E+00 a       176     0     8     1     1
 -4.4468350180762473E+00 a       177     0     8     1     2
  3.3978273732570448E+00 a       178     0     8     1     3
  2.0550997520397538E+00 a       179     0     8     1     4
 -1.7799350034102259E-03 a       180     0     8     1     5
  8.6926522731434819E+00 a       181     0     8     1     6
 -1.0437926913588207E-01 a       182     0     8     1     7
  7.8029536591822135E-01 a       183     0     8     1     8
  3.8432510580711297E+00 a       184     0     8     1     9
  1.8712087168785887E+00 a       185     0     8     1    10
 -1.6968181510769396E+00 a       186     0     8     1    11
  2.1694269222223717E+01 a       187     0     8     1    12
 -2.1854122834771506E+00 a       188     0     8     1    13
 -1.2920618096546608E+01 a       189     0     8     1    14
 -5.9905167497564591E+00 a       190     0     8     1    15
  2.9707861430003288E+00 a       191     0     8     1    16
 -4.9833732497641128E+00 a       192     0     8     1    17
  4.3907671079414774E+00 a       193     0     8     1    18
 -2.1415501498407816E-01 a       194     0     8     1    19
 -2.3444089833406476E+00 a       195     0     8     1    20
 -3.8369007243011538E-01 a       196     0     8     1    21
 -1.2869912558098983E+01 a       197     0     8     1    22
  2.0695000385785414E+00 a       198     0     8     1    23
 -7.8511438869796946E-01 a       199     0     8     1    24
 -1.2621263928049706E+00 a       200     0     8     1    25
 -2.5711880512546275E+00 a       201     0     9     1     1
  4.5109743765863636E-01 a       202     0     9     1     2
 -1.4894322402005836E-01 a       203     0     9     1     3
  3.8040459555466364E+00 a       204     0     9     1     4
  4.1831512728480265E+00 a       205     0     9     1     5
  1.5865922290794525E+00 a       206     0     9     1     6
 -1.9120292477678327E-01 a       207     0     9     1     7
 -2.4965893814408355E+00 a       208     0     9     1     8
  2.4740019290462634E+00 a       209     0     9     1     9
 -2.0438379717422008E+00 a       210     0     9     1    10
  2.2364228484141231E+00 a       211     0     9     1    11
  4.5038538695543817E+00 a       212     0     9     1    12
  1.5765927284308578E+00 a       213     0     9     1    13
  1.1145462969529940E+00 a       214     0     9     1    14
 -3.0229868478812199E+00 a       215     0     9     1    15
  1.4297038750563575E+00 a       216     0     9     1    16
  1.7618602344492440E+00 a       217     0     9     1    17
 -6.0712274201967231E-01 a       218     0     9     1    18
 -2.2268465198567089E+00 a       219     0     9     1    19
 -8.7833578133271556E-02 a       220     0     9     1    20
  2.4152875596896459E-01 a       221     0     9     1    21
 -8.7937581374711182E-01 a       222     0     9     1    22
  1.5976739179993698E+00 a       223     0     9     1    23
 -2.6928772946333068E-01 a       224     0     9     1    24
  1.0391476952738927E+00 a       225     0     9     1    25
 -2.0750982530160075E-01 a       226     0    10     1     1
 -1.3296593549698184E+00 a       227     0    10     1     2
  6.5276047660418091E-01 a       228     0    10     1     3
  7.0002070944160233E-01 a       229     0    10     1     4
  1.9915506561270311E+00 a       230     0    10     1     5
 -3.5165729546791896E-01 a       231     0    10     1     6
  2.1775639898755133E+00 a       232     0    10     1     7
 -3.2507100790680948E-01 a       233     0    10     1     8
 -1.8762805055333325E+00 a       234     0    10     1     9
  1.4720210773466951E+00 a       235     0    10     1    10
  8.5619977670456038E-01 a       236     0    10     1    11
 -6.0331441480528749E+00 a       237     0    10     1    12
 -8.1305482456622580E-01 a       238     0    10     1    13
  2.0157064149015915E+00 a       239     0    10     1    14
  9.4655105493946734E-01 a       240     0    10     1    15
  4.5120642007137973E-02 a       241     0    10     1    16
  1.8983583877726389E+00 a       242     0    10     1    17
 -2.2126517014078408E+00 a       243     0    10     1    18
  1.6666551530639186E+00 a       244     0    10     1    19
  3.4542196962303068E-01 a       245     0    10     1    20
 -7.5517616255996500E-01 a       246     0    10     1    21
  1.0299410979699724E+00 a       247     0    10     1    22
 -2.1248952722171235E+00 a       248     0    10     1    23
  9.1148256704480068E-01 a       249     0    10     1    24
 -4.0552324341417434E-01 a       250     0    10     1    25
 -2.8570693127188287E+00 a       251     0    11     1     1
  5.2813908357810737E+00 a       252     0    11     1     2
 -2.2512611985075215E+00 a       253     0    11     1     3
 -1.9303433182787672E-01 a       254     0    11     1     4
 -4.2878231494033932E+00 a       255     0    11     1     5
 -6.2715483120987621E+00 a       256     0    11     1     6
 -2.0653318794338585E-01 a       257     0    11     1     7
 -6.9935751761409444E+00 a       258     0    11     1     8
 -1.8540518494324050E+00 a       259     0    11     1     9
 -3.0282740804502399E+00 a       260     0    11     1    10
  2.9256077000086916E-01 a       261     0    11     1    11
 -1.5837379988608486E+01 a       262     0    11     1    12
 -4.0115800246172312E-01 a       263     0    11     1    13
  7.9066887157199099E+00 a       264     0    11     1    14
  2.3741069197966161E-01 a       265     0    11     1    15
  4.1236733250418245E-01 a       266     0    11     1    16
  6.1781731514949820E+00 a       267     0    11     1    17
  4.5016989101316351E-01 a       268     0    11     1    18
 -1.0012771682345238E+00 a       269     0    11     1    19
 -9.4874659572539233E-01 a       270     0    11     1    20
 -1.7485219168321482E+00 a       271     0    11     1    21
  5.3893147572354660E+00 a       272     0    11     1    22
 -1.3459491508075377E-01 a       273     0    11     1    23
 -4.9592634080527537E-01 a       274     0    11     1    24
 -2.9892887733661511E-01 a       275     0    11     1    25
  5.3893700368340873E+00 a       276     0    12     1     1
 -8.0800766460623552E-01 a       277     0    12     1     2
  8.3650106252183831E-01 a       278     0    12     1     3
