################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6183134044395037E-01 a       116     0     5     1    16
  2.8581125473860283E+00 a       117     0     5     1    17
  2.4329539784512058E+00 a       118     0     5     1    18
  8.3970744022597432E-01 a       119     0     5     1    19
 -9.6386775440012162E-01 a       120     0     5     1    20
 -3.7699998212233790E+00 a       121     0     5     1    21
  5.1643528985588416E+00 a       122     0     5     1    22
 -4.7946364197033864E+00 a       123     0     5     1    23
 -7.0848648904789640E+00 a       124     0     5     1    24
 -2.7314779624892611E+00 a       125     0     5     1    25
  2.0138812468134368E+00 a       126     0     6     1     1
  1.0541743653141216E+00 a       127     0     6     1     2
  1.8225563122337745E+00 a       128     0     6     1     3
 -5.7505479019554684E-01 a       129     0     6     1     4
  2.1263160586143623E-01 a       130     0     6     1     5
  6.1628352943792826E-02 a       131     0     6     1     6
  1.2155269891047036E+00 a       132     0     6     1     7
  2.6862501706292976E+00 a       133     0     6     1     8
 -3.5097091205731357E-01 a       134     0     6     1     9
 -1.1400683306452244E+00 a       135     0     6     1    10
  1.4236151653354756E+00 a       136     0     6     1    11
  2.7187531366589885E+00 a       137     0     6     1    12
 -7.4638578474457185E-01 a       138     0     6     1    13
 -1.2305045566343586E+00 a       139     0     6     1    14
 -1.0774184618622336E+00 a       140     0     6     1    15
  1.2292794316796316E+00 a       141     0     6     1    16
  7.3505734979014448E-01 a       142     0     6     1    17
  2.2297499676825687E+00 a       143     0     6     1    18
  1.4669069720096601E+00 a       144     0     6     1    19
  3.3976466943218302E+00 a       145     0     6     1    20
  4.1943904317775473E+00 a       146     0     6     1    21
 -1.5326534585276426E+00 a       147     0     6     1    22
  6.1043502421074036E-01 a       148     0     6     1    23
  5.3132429167951560E+00 a       149     0     6     1    24
 -4.2495191666247276E+00 a       150     0     6     1    25
 -3.1430970457277296E+00 a       151     0     7     1     1
 -3.5863891025471752E+00 a       152     0     7     1     2
  7.9544032363392194E+00 a       153     0     7     1     3
 -1.6850959853739620E+00 a       154     0     7     1     4
 -6.5983690217892788E+00 a       155     0     7     1     5
  4.9994218613632739E+00 a       156     0     7     1     6
 -5.5567275605410797E+00 a       157     0     7     1     7
 -1.0362068207923947E+01 a       158     0     7     1     8
  3.4674638414876067E+00 a       159     0     7     1     9
  7.2654338490414350E-01 a       160     0     7     1    10
 -4.1272701775760936E+00 a       161     0     7     1    11
 -1.6155910434642677E+00 a       162     0     7     1    12
 -6.2465626473935769E+00 a       163     0     7     1    13
 -3.0149622013613753E+00 a       164     0     7     1    14
  1.5840603478045024E+01 a       165     0     7     1    15
  9.7220704797922863E-01 a       166     0     7     1    16
  1.3804126250007438E+00 a       167     0     7     1    17
 -6.6980953204575879E+00 a       168     0     7     1    18
  6.9833650316929297E-01 a       169     0     7     1    19
  4.6429271620534065E+00 a       170     0     7     1    20
  3.9834399797452619E-01 a       171     0     7     1    21
 -7.8931668561712511E+00 a       172     0     7     1    22
  4.7982080608072059E-01 a       173     0     7     1    23
  7.8424143987126671E+00 a       174     0     7     1    24
  5.8474458164343988E+00 a       175     0     7     1    25
 -3.0391094914403500E+00 a       176     0     8     1     1
 -1.7826743416897917E+00 a       177     0     8     1     2
 -1.1262614469737085E-01 a       178     0     8     1     3
  2.2484409359965438E+00 a       179     0     8     1     4
  3.3498172186389197E-01 a       180     0     8     1     5
  2.6939657032458704E+00 a       181     0     8     1     6
 -2.6969199694277973E-01 a       182     0     8     1     7
  1.5294970128174219E+00 a       183     0     8     1     8
 -2.2600091962391895E+00 a       184     0     8     1     9
  7.3803883341959131E-01 a       185     0     8     1    10
  3.0702000982493777E-01 a       186     0     8     1    11
 -2.2411424854287594E+00 a       187     0     8     1    12
  7.2588849061998728E-01 a       188     0     8     1    13
 -1.0670794911870616E+00 a       189     0     8     1    14
  1.6324541386678160E+00 a       190     0     8     1    15
 -2.2531167763230551E+00 a       191     0     8     1    16
 -2.6328623381334321E-01 a       192     0     8     1    17
 -5.5318678050147796E-01 a       193     0     8     1    18
  1.3219795035719271E+00 a       194     0     8     1    19
  9.9172946516550975E-01 a       195     0     8     1    20
 -1.2686866947147766E+00 a       196     0     8     1    21
  1.0466057617936586E+00 a       197     0     8     1    22
  1.5058019248156664E+00 a       198     0     8     1    23
 -2.9625803872388934E-01 a       199     0     8     1    24
  2.8761824188147815E+00 a       200     0     8     1    25
 -4.4514085475654621E+00 a       201     0     9     1     1
 -3.8153170840493114E+00 a       202     0     9     1     2
  3.8818956295581848E+00 a       203     0     9     1     3
  2.0415192237554125E+00 a       204     0     9     1     4
 -1.5313063844934725E+00 a       205     0     9     1     5
  4.7662870450541730E+00 a       206     0     9     1     6
 -8.6713519128544583E+00 a       207     0     9     1     7
 -2.7880763076957114E+00 a       208     0     9     1     8
  3.3615801748588852E+00 a       209     0     9     1     9
  7.6239389949595828E-04 a       210     0     9     1    10
 -2.0418031457840464E+00 a       211     0     9     1    11
  8.6849548759236161E-01 a       212     0     9     1    12
 -1.7508522297197264E+00 a       213     0     9     1    13
 -2.3290326638341075E+00 a       214     0     9     1    14
 -4.8892197100099660E-01 a       215     0     9     1    15
 -9.5477083017563480E-01 a       216     0     9     1    16
 -2.4129833364903130E+00 a       217     0     9     1    17
 -4.0352589484766499E+00 a       218     0     9     1    18
  2.4174039290930854E-01 a       219     0     9     1    19
  4.4806273938066079E+00 a       220     0     9     1    20
 -3.9753333993651702E-01 a       221     0     9     1    21
 -5.8392134423791164E+00 a       222     0     9     1    22
 -1.9079458856540037E+00 a       223     0     9     1    23
  1.0990139767572662E+00 a       224     0     9     1    24
 -1.6688004916038905E+00 a       225     0     9     1    25
  9.2224975121429720E-01 a       226     0    10     1     1
  3.0013110674991816E+00 a       227     0    10     1     2
  2.3319355179222234E+00 a       228     0    10     1     3
 -1.2407527183751872E+00 a       229     0    10     1     4
 -3.7936584335761112E+00 a       230     0    10     1     5
  1.0620661173244361E+00 a       231     0    10     1     6
 -2.4381783767793337E+00 a       232     0    10     1     7
  9.9235906302569232E-01 a       233     0    10     1     8
 -5.1635986123858169E-01 a       234     0    10     1     9
 -1.6057202965619839E+00 a       235     0    10     1    10
 -2.2199309677829987E-01 a       236     0    10     1    11
  1.6647353165389229E+00 a       237     0    10     1    12
 -2.4281404172313450E-01 a       238     0    10     1    13
 -1.9822528903893464E+00 a       239     0    10     1    14
 -1.1635887981475634E+00 a       240     0    10     1    15
  2.1877652774793419E+00 a       241     0    10     1    16
 -9.7560636489089358E-01 a       242     0    10     1    17
 -4.5337671743043506E-01 a       243     0    10     1    18
  5.2034250060316656E-01 a       244     0    10     1    19
  1.6025577527781549E+00 a       245     0    10     1    20
  6.7506708777424711E+00 a       246     0    10     1    21
 -1.4976204523306536E+00 a       247     0    10     1    22
  2.4594929855260341E+00 a       248     0    10     1    23
 -3.9483070823663602E-01 a       249     0    10     1    24
 -5.8147236404603433E+00 a       250     0    10     1    25
  3.6146044123986414E+00 a       251     0    11     1     1
  5.8328212849721839E-01 a       252     0    11     1     2
 -5.7145270896912761E+00 a       253     0    11     1     3
 -1.1938124090442537E+00 a       254     0    11     1     4
  1.4905211594937573E+00 a       255     0    11     1     5
 -7.1527094974432464E+00 a       256     0    11     1     6
  9.3435277130094683E+00 a       257     0    11     1     7
  5.0212791595232478E+00 a       258     0    11     1     8
 -3.9860562550760621E+00 a       259     0    11     1     9
  2.1978658827868456E+00 a       260     0    11     1    10
  5.0141082315605825E+00 a       261     0    11     1    11
  1.1525308959311251E+00 a       262     0    11     1    12
  1.3628209743563930E+00 a       263     0    11     1    13
  2.8405199805008285E+00 a       264     0    11     1    14
 -5.3534208675384507E+00 a       265     0    11     1    15
  8.4765317338548293E-02 a       266     0    11     1    16
 -1.5829123820676194E+00 a       267     0    11     1    17
  6.1989461696568773E+00 a       268     0    11     1    18
 -1.2963724882095982E+00 a       269     0    11     1    19
 -5.6843905160582180E+00 a       270     0    11     1    20
  2.0861790624156580E+00 a       271     0    11     1    21
  4.6644265891116703E+00 a       272     0    11     1    22
  3.5223964346704806E+00 a       273     0    11     1    23
 -4.7805833560644375E+00 a       274     0    11     1    24
 -2.4280246932706149E+00 a       275     0    11     1    25
 -1.7709484842729677E+00 a       276     0    12     1     1
 -3.0986292368457846E-01 a       277     0    12     1     2
 -2.1571497947502620E+00 a       278     0    12     1     3
 -1.7992571585974837E+00 a       279     0    12     1     4
  1.4446928866017370E+00 a       280     0    12     1     5
 -3.5413582757215036E+00 a       281     0    12     1     6
  1.8953968205712008E+00 a       282     0    12     1     7
 -2.7788833519841867E+00 a       283     0    12     1     8
 -1.1309209517012983E-01 a       284     0    12     1     9
  1.7704157694979108E+00 a       285     0    12     1    10
 -1.0468617517353718E+00 a       286     0    12     1    11
 -1.5101957894885412E-01 a       287     0    12     1    12
  9.3903164336147882E-01 a       288     0    12     1    13
  1.5575167536294079E+00 a       289     0    12     1    14
  6.4295954914313758E-01 a       290     0    12     1    15
 -1.8119044255739891E+00 a       291     0    12     1    16
 -1.2117142695460841E+00 a       292     0    12     1    17
  4.6786879319622632E-01 a       293     0    12     1    18
 -1.0943105987802366E+00 a       294     0    12     1    19
 -2.7089373727633985E+00 a       295     0    12     1    20
 -4.2858963007282380E+00 a       296     0    12     1    21
  2.3900254620346186E+00 a       297     0    12     1    22
 -3.2585089093224839E+00 a       298     0    12     1    23
 -2.3234121521099587E+00 a       299     0    12     1    24
  2.7331645136594509E+00 a       300     0    12     1    25
  3.3574917220465328E+00 a       301     0    13     1     1
  1.2355129566325376E+00 a       302     0    13     1     2
 -2.8209357650577176E+00 a       303     0    13     1     3
 -1.8801508878531931E-01 a       304     0    13     1     4
 -2.5766616996853703E-01 a       305     0    13     1     5
 -1.2356164799861875E+00 a       306     0    13     1     6
  9.3635340435456216E-01 a       307     0    13     1     7
  1.4007786295499716E+00 a       308     0    13     1     8
 -1.5011518667401786E+00 a       309     0    13     1     9
 -1.2838592473453975E-01 a       310     0    13     1    10
  2.2555779329512887E-01 a       311     0    13     1    11
  2.5502164519506276E-01 a       312     0    13     1    12
 -1.1687522206499222E-01 a       313     0    13     1    13
  8.4096371955585858E-01 a       314     0    13     1    14
  2.3140241860666710E-01 a       315     0    13     1    15
  2.4575857105072071E-01 a       316     0    13     1    16
  1.1745901056460686E+00 a       317     0    13     1    17
  1.2258386610189170E-01 a       318     0    13     1    18
  1.4545151647940854E-01 a       319     0    13     1    19
 -1.1989020479393098E+00 a       320     0    13     1    20
 -9.0640071972717040E-01 a       321     0    13     1    21
  2.2505300751969051E+00 a       322     0    13     1    22
  3.0825073511214267E-02 a       323     0    13     1    23
  4.7235502847711025E-01 a       324     0    13     1    24
 -6.1159648849174708E-01 a       325     0    13     1    25
  8.4223449013465967E-01 a       326     0    14     1     1
 -3.1753223442372587E+00 a       327     0    14     1     2
 -1.5891221558972781E+00 a       328     0    14     1     3
 -2.9206589697291552E-01 a       329     0    14     1     4
  2.1474477588158654E+00 a       330     0    14     1     5
  1.4024201218107029E+00 a       331     0    14     1     6
  3.4079536907111146E-01 a       332     0    14     1     7
 -7.4049432651143399E-01 a       333     0    14     1     8
 -2.1322202503398811E+00 a       334     0    14     1     9
 -1.0815214799552515E+00 a       335     0    14     1    10
  7.4062715435969151E-01 a       336     0    14     1    11
 -6.1652637378744868E-01 a       337     0    14     1    12
 -1.0324151175740419E+00 a       338     0    14     1    13
  9.0559327046680493E-01 a       339     0    14     1    14
  5.9958943231205009E-01 a       340     0    14     1    15
 -1.4928373748962562E+00 a       341     0    14     1    16
 -1.3829185908394845E+00 a       342     0    14     1    17
  4.3551057269340182E-01 a       343     0    14     1    18
  4.6653984136447552E-01 a       344     0    14     1    19
 -6.0889328089578709E-01 a       345     0    14     1    20
 -4.6437369461835853E+00 a       346     0    14     1    21
  2.0198088263253964E+00 a       347     0    14     1    22
 -2.7470830852723114E+00 a       348     0    14     1    23
  5.0474926189080438E-01 a       349     0    14     1    24
  1.6345243729672478E+00 a       350     0    14     1    25
 -3.3950278780936083E-01 a       351     0    15     1     1
  4.2378437691399057E-01 a       352     0    15     1     2
  1.0137544704029835E+00 a       353     0    15     1     3
 -6.9032634597221032E-02 a       354     0    15     1     4
 -1.0048689301507896E+00 a       355     0    15     1     5
 -1.0274387316926084E+00 a       356     0    15     1     6
 -4.2424358977792981E-01 a       357     0    15     1     7
  1.9395605219907625E-01 a       358     0    15     1     8
  6.7690573251258368E-01 a       359     0    15     1     9
  9.6959463141229474E-01 a       360     0    15     1    10
 -2.6675880011656711E-01 a       361     0    15     1    11
  4.3726232036259177E-01 a       362     0    15     1    12
  1.7049854182592661E+00 a       363     0    15     1    13
 -2.8418332362237075E-01 a       364     0    15     1    14
 -8.4787976174360813E-01 a       365     0    15     1    15
  1.5917627498385678E-01 a       366     0    15     1    16
  5.6002681874439253E-01 a       367     0    15     1    17
 -7.2692294705439642E-01 a       368     0    15     1    18
 -7.6551347477816767E-01 a       369     0    15     1    19
  6.7507413806068950E-01 a       370     0    15     1    20
  1.3379814708121547E+00 a       371     0    15     1    21
 -7.7274635989250762E-01 a       372     0    15     1    22
  1.1803176119513596E+00 a       373     0    15     1    23
 -1.9807847358976916E-01 a       374     0    15     1    24
  7.8687064871706591E-01 a       375     0    15     1    25
 -3.6104436989976743E-02 a       376     0    16     1     1
  7.9004674676618747E-01 a       377     0    16     1     2
  6.7030270915917803E-02 a       378     0    16     1     3
  1.9143555553851296E-01 a       379     0    16     1     4
 -6.0726108083682083E-02 a       380     0    16     1     5
  9.4571273822563262E-01 a       381     0    16     1     6
  1.4226627560445529E-01 a       382     0    16     1     7
 -3.7604683077835910E-01 a       383     0    16     1     8
  4.5936841516855259E-01 a       384     0    16     1     9
 -4.4914641144074169E-01 a       385     0    16     1    10
  2.7045098382308652E-01 a       386     0    16     1    11
  4.4435102699255979E-01 a       387     0    16     1    12
  1.7028996345123459E-01 a       388     0    16     1    13
 -3.7528108930059902E-02 a       389     0    16     1    14
 -9.7516067805734102E-02 a       390     0    16     1    15
  4.6833453225842542E-01 a       391     0    16     1    16
 -3.0558920081648644E-01 a       392     0    16     1    17
 -7.7558783491405481E-01 a       393     0    16     1    18
 -1.2856405238447180E-01 a       394     0    16     1    19
  8.0505445447222906E-02 a       395     0    16     1    20
 -3.3992607715340917E-01 a       396     0    16     1    21
  6.7293944006895201E-01 a       397     0    16     1    22
  7.0022526802828766E-01 a       398     0    16     1    23
 -7.6475678984781983E-02 a       399     0    16     1    24
  2.7622923127333273E-02 a       400     0    16     1    25
 -4.2595932203607251E-01 a       401     0    17     1     1
 -8.2927444481028800E-01 a       402     0    17     1     2
 -7.5733549512631126E-01 a       403     0    17     1     3
  5.6136477078321878E-01 a       404     0    17     1     4
 -2.3334237203547500E-01 a       405     0    17     1     5
 -3.1699805886969933E-02 a       406     0    17     1     6
  5.9875166815427716E-01 a       407     0    17     1     7
  8.4045294980480589E-01 a       408     0    17     1     8
 -2.2816872779396349E-01 a       409     0    17     1     9
  2.5711989252533272E+00 a       410     0    17     1    10
 -1.1835999174966094E+00 a       411     0    17     1    11
  9.4164352829839570E-01 a       412     0    17     1    12
  9.2763174433201673E-02 a       413     0    17     1    13
  8.3025845228192197E-01 a       414     0    17     1    14
  5.9258045302788542E-01 a       415     0    17     1    15
 -1.0532285348465573E+00 a       416     0    17     1    16
  6.9022015346500643E-01 a       417     0    17     1    17
  7.2221622491828807E-01 a       418     0    17     1    18
 -8.3800271992113051E-01 a       419     0    17     1    19
  9.8331933054659404E-01 a       420     0    17     1    20
  2.4599928431623352E-01 a       421     0    17     1    21
 -2.4796346605800307E-01 a       422     0    17     1    22
 -1.1179533565988198E+00 a       423     0    17     1    23
 -1.3840750197452181E-01 a       424     0    17     1    24
  1.3013205034018855E+00 a       425     0    17     1    25
  1.4045990553399716E+00 a       426     0    18     1     1
  1.7803904987637287E-01 a       427     0    18     1     2
  5.9353140638386237E-01 a       428     0    18     1     3
 -1.4050758926887497E+00 a       429     0    18     1     4
  1.3467330828134707E+00 a       430     0    18     1     5
 -3.8262287496803167E-02 a       431     0    18     1     6
  1.7108331578754090E+00 a       432     0    18     1     7
 -2.4848286959768866E+00 a       433     0    18     1     8
 -5.1161559519626278E+00 a       434     0    18     1     9
  9.3392232361334016E-01 a       435     0    18     1    10
 -4.3684996573851942E-01 a       436     0    18     1    11
  3.2447565397189155E+00 a       437     0    18     1    12
 -1.7433389218248290E+00 a       438     0    18     1    13
  1.7562942740749682E-01 a       439     0    18     1    14
  2.4453932781002279E+00 a       440     0    18     1    15
 -2.0447722905860161E-01 a       441     0    18     1    16
 -1.1383145562694172E+00 a       442     0    18     1    17
  2.1101543338908266E-01 a       443     0    18     1    18
 -1.2832493575916752E+00 a       444     0    18     1    19
  4.1321929679434949E-01 a       445     0    18     1    20
  2.0241297012936665E+00 a       446     0    18     1    21
 -8.6480109875895850E-01 a       447     0    18     1    22
 -2.4809217555962113E+00 a       448     0    18     1    23
  2.4612536673680090E+00 a       449     0    18     1    24
 -5.0688931933728192E+00 a       450     0    18     1    25
 -8.9625838350263776E-03 a       451     0    19     1     1
  4.8433130920854564E-02 a       452     0    19     1     2
 -3.0599111038330973E+00 a       453     0    19     1     3
  5.3557482565478098E-01 a       454     0    19     1     4
 -2.1418496925784469E-01 a       455     0    19     1     5
 -1.0981181407158376E+00 a       456     0    19     1     6
  2.1766695192850665E+00 a       457     0    19     1     7
  1.4660986370865594E+00 a       458     0    19     1     8
 -1.4087801049845885E+00 a       459     0    19     1     9
 -1.6216204753744856E+00 a       460     0    19     1    10
  1.3367385813791779E+00 a       461     0    19     1    11
 -6.9951159695112219E-01 a       462     0    19     1    12
 -1.8071343435896630E+00 a       463     0    19     1    13
 -1.3449803621105366E-01 a       464     0    19     1    14
  1.7684181304199362E+00 a       465     0    19     1    15
 -6.2139690044742069E-01 a       466     0    19     1    16
 -4.1386048820437731E+00 a       467     0    19     1    17
 -2.0223410629575209E+00 a       468     0    19     1    18
  1.3900244320650368E+00 a       469     0    19     1    19
  2.4414911356574116E+00 a       470     0    19     1    20
  2.4299897178500127E+00 a       471     0    19     1    21
  6.9391632928804214E-01 a       472     0    19     1    22
 -8.5171608002033994E-01 a       473     0    19     1    23
  5.8295535215453587E-01 a       474     0    19     1    24
 -8.0251960695074698E-01 a       475     0    19     1    25
  1.3591522875436493E+00 a       476     0    20     1     1
  7.4787674363466938E-01 a       477     0    20     1     2
  2.2976265713856288E+00 a       478     0    20     1     3
 -2.8619280091760668E+00 a       479     0    20     1     4
  2.4500884362550379E+00 a       480     0    20     1     5
 -2.6355581981075343E-01 a       481     0    20     1     6
  1.8195487133883889E-01 a       482     0    20     1     7
 -2.2277686113898514E+00 a       483     0    20     1     8
 -2.5093390778507088E+00 a       484     0    20     1     9
  9.7572942801880580E-01 a       485     0    20     1    10
 -1.7399257133305484E+00 a       486     0    20     1    11
  6.5042259593696183E-01 a       487     0    20     1    12
  5.4524763836012768E-01 a       488     0    20     1    13
  2.5745821482767900E-01 a       489     0    20     1    14
 -1.6866554531650413E-01 a       490     0    20     1    15
  5.4063408123257839E-01 a       491     0    20     1    16
  2.3757138847813044E+00 a       492     0    20     1    17
  6.5518748584290343E-01 a       493     0    20     1    18
 -8.7658046025125846E-01 a       494     0    20     1    19
 -1.1562641468751969E+00 a       495     0    20     1    20
 -6.5038503663990554E-01 a       496     0    20     1    21
 -2.7566381012799628E+00 a       497     0    20     1    22
 -8.2404714841450544E-01 a       498     0    20     1    23
  2.5245768002421429E+00 a       499     0    20     1    24
 -2.9540775281720486E+00 a       500     0    20     1    25
  2.7201208775934016E-01 a       501     0    21     1     1
 -3.0081320844847170E-01 a       502     0    21     1     2
 -3.1997548320486806E+00 a       503     0    21     1     3
  3.3198252443521747E-01 a       504     0    21     1     4
 -4.0614483736127838E-01 a       505     0    21     1     5
 -1.8515924773748478E+00 a       506     0    21     1     6
  1.3846843075341921E+00 a       507     0    21     1     7
  2.1689319127960500E+00 a       508     0    21     1     8
  3.3401106246743328E-01 a       509     0    21     1     9
 -2.3319555068092979E+00 a       510     0    21     1    10
  1.2902915075031673E+00 a       511     0    21     1    11
 -2.4078607762649451E+00 a       512     0    21     1    12
 -1.5893803379013813E+00 a       513     0    21     1    13
 -3.9104569855840204E-01 a       514     0    21     1    14
  9.9183599958443991E-01 a       515     0    21     1    15
 -8.8551371537278967E-01 a       516     0    21     1    16
 -3.9363057634504659E+00 a       517     0    21     1    17
 -2.4757312795337914E+00 a       518     0    21     1    18
  1.7724286030065692E+00 a       519     0    21     1    19
  2.6562108955434178E+00 a       520     0    21     1    20
  1.1171795571096867E+00 a       521     0    21     1    21
  9.3091158722564449E-01 a       522     0    21     1    22
  5.0024164287215334E-01 a       523     0    21     1    23
 -2.3854526713115834E-01 a       524     0    21     1    24
  1.5572382786977981E+00 a       525     0    21     1    25
  4.5402016452046146E-01 a       526     0    22     1     1
  2.1669649146639123E+00 a       527     0    22     1     2
 -3.1994173444106511E+00 a       528     0    22     1     3
 -1.2813140165580319E+00 a       529     0    22     1     4
  1.8624313771794458E+00 a       530     0    22     1     5
