################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.1527765892609345E+00 a         1     0     1     1     1
 -2.2410982997832298E+00 a         2     0     1     1     2
  6.1530303446183598E+00 a         3     0     1     1     3
 -3.5349053916646143E+00 a         4     0     1     1     4
 -3.4855213367048279E+00 a         5     0     1     1     5
  2.6887223219507617E-01 a         6     0     1     1     6
 -3.4841682397217089E-01 a         7     0     1     1     7
 -7.4304017610431270E+00 a         8     0     1     1     8
 -1.2916856975923907E+00 a         9     0     1     1     9
  2.4806781481818705E+00 a        10     0     1     1    10
  2.6154643204091704E-01 a        11     0     1     1    11
 -2.7789073496331764E+00 a        12     0     1     1    12
 -5.2115061978990482E+00 a        13     0     1     1    13
 -1.6344811767903389E+00 a        14     0     1     1    14
  7.6107326334002092E+00 a        15     0     1     1    15
 -4.1454330147040819E-01 a        16     0     1     1    16
 -2.9656960145420413E-01 a        17     0     1     1    17
 -1.0140570219205409E+00 a        18     0     1     1    18
 -1.0362357456425040E+00 a        19     0     1     1    19
  5.4344843456881931E-01 a        20     0     1     1    20
  2.7178323271902123E+00 a        21     0     1     1    21
 -3.8878628590229183E+00 a        22     0     1     1    22
  3.4673498386231496E+00 a        23     0     1     1    23
  5.9913597332016426E+00 a        24     0     1     1    24
  1.0974001303306367E+00 a        25     0     1     1    25
 -4.1401971307697533E-01 a        26     0     2     1     1
 -2.6695211698018451E-01 a        27     0     2     1     2
 -1.6257784024516815E+00 a        28     0     2     1     3
  5.9953540066195277E-01 a        29     0     2     1     4
 -9.7683526806090470E-01 a        30     0     2     1     5
  3.9393409332162543E-01 a        31     0     2     1     6
 -1.5008549735623826E+00 a        32     0     2     1     7
 -3.4410201799484237E+00 a        33     0     2     1     8
  1.5177216918559409E+00 a        34     0     2     1     9
 -1.0641602598406559E+00 a        35     0     2     1    10
 -9.8884385057356783E-01 a        36     0     2     1    11
 -3.2312805064552412E+00 a        37     0     2     1    12
 -2.4882110358586548E-01 a        38     0     2     1    13
  1.2002333796707765E+00 a        39     0     2     1    14
  7.7691747465467598E-01 a        40     0     2     1    15
 -3.1033570260414961E-01 a        41     0     2     1    16
  1.3621444620451104E-01 a        42     0     2     1    17
 -1.7977125164018544E+00 a        43     0     2     1    18
 -2.3420476381534905E+00 a        44     0     2     1    19
 -3.5681927496113319E+00 a        45     0     2     1    20
 -3.5578161402083062E+00 a        46     0     2     1    21
  1.7560985907339670E+00 a        47     0     2     1    22
 -2.4934002015700774E-01 a        48     0     2     1    23
 -5.7065486587240493E+00 a        49     0     2     1    24
  3.3439749404732404E+00 a        50     0     2     1    25
  1.8536238057026739E+00 a        51     0     3     1     1
  6.5265765207543280E-01 a        52     0     3     1     2
 -3.7206611226189987E+00 a        53     0     3     1     3
  2.0031512013616979E+00 a        54     0     3     1     4
  2.8483531540704137E+00 a        55     0     3     1     5
 -1.5577088687440084E+00 a        56     0     3     1     6
  1.7999799887717252E+00 a        57     0     3     1     7
  6.0886787552735262E+00 a        58     0     3     1     8
 -1.4389851512777969E+00 a        59     0     3     1     9
 -2.3131565730470457E-01 a        60     0     3     1    10
  1.1908064102961566E+00 a        61     0     3     1    11
  1.0726233364454940E+00 a        62     0     3     1    12
  4.1770933991134296E+00 a        63     0     3     1    13
  1.2916062259396865E+00 a        64     0     3     1    14
 -7.2771839984238618E+00 a        65     0     3     1    15
 -1.8805760233427646E-01 a        66     0     3     1    16
  1.6043467390175861E+00 a        67     0     3     1    17
  2.1901441492925482E+00 a        68     0     3     1    18
  1.9085937380879872E-01 a        69     0     3     1    19
 -1.0138585191485565E+00 a        70     0     3     1    20
 -8.1253718041549283E-01 a        71     0     3     1    21
  4.0334411092823244E+00 a        72     0     3     1    22
 -5.7737636411365345E-01 a        73     0     3     1    23
 -3.1433096405358238E+00 a        74     0     3     1    24
 -1.3037504551917694E+00 a        75     0     3     1    25
  1.7817097902845782E+00 a        76     0     4     1     1
  2.2609990540289893E+00 a        77     0     4     1     2
  7.4031456800329654E-01 a        78     0     4     1     3
 -4.4161900743633609E-01 a        79     0     4     1     4
 -4.0899505552873899E-01 a        80     0     4     1     5
 -1.1124034512216683E+00 a        81     0     4     1     6
 -6.3735674279667767E-03 a        82     0     4     1     7
 -4.6352035498044225E-01 a        83     0     4     1     8
  9.7867915690319207E-01 a        84     0     4     1     9
 -8.1882119316935920E-01 a        85     0     4     1    10
  7.2299177147811944E-01 a        86     0     4     1    11
  1.7727400274203846E+00 a        87     0     4     1    12
 -2.8766318209706759E-01 a        88     0     4     1    13
  2.3534844909467362E-01 a        89     0     4     1    14
 -1.1330798689027559E+00 a        90     0     4     1    15
  1.3699855653585242E+00 a        91     0     4     1    16
  9.7125706962359326E-01 a        92     0     4     1    17
  5.7388920324930648E-01 a        93     0     4     1    18
 -3.8802856114891993E-01 a        94     0     4     1    19
  1.4376532100949533E-03 a        95     0     4     1    20
  1.3291145258076271E+00 a        96     0     4     1    21
 -1.4394499688474696E+00 a        97     0     4     1    22
 -4.8809530354120012E-01 a        98     0     4     1    23
  9.0083247025033075E-01 a        99     0     4     1    24
 -2.5277103205188274E+00 a       100     0     4     1    25
  5.3303066381039219E+00 a       101     0     5     1     1
  3.3795423621836216E+00 a       102     0     5     1     2
 -8.2175071046195836E+00 a       103     0     5     1     3
  4.3959552133561575E+00 a       104     0     5     1     4
  6.4861588623031414E+00 a       105     0     5     1     5
 -9.5065747789031907E-01 a       106     0     5     1     6
  2.3006707846928798E+00 a       107     0     5     1     7
  1.0348005561434881E+01 a       108     0     5     1     8
  8.2010511293520438E-01 a       109     0     5     1     9
 -9.0695216088855390E-01 a       110     0     5     1    10
 -5.9518734634629200E-01 a       111     0     5     1    11
  3.7739124281085350E+00 a       112     0     5     1    12
  8.0312215397416757E+00 a       113     0     5     1    13
  2.5070115886801649E+00 a       114     0     5     1    14
 -1.1168607349952072E+01 a       115     0     5     1    15
